feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-86;AXIAL PARENCHYMA;Banded wide;Axial parenchyma in narrow bands or lines up to three cells wide;;Hardwood;IAWA;86;;;;
IFC-87;AXIAL PARENCHYMA;Banded pattern;Axial parenchyma reticulate;;Hardwood;IAWA;87;;;;
IFC-88;AXIAL PARENCHYMA;Banded pattern;Axial parenchyma scalariform;;Hardwood;IAWA;88;;;;
IFC-89;AXIAL PARENCHYMA;Banded pattern;Axial parenchyma in marginal or in seemingly marginal bands ;;Hardwood;IAWA;89;;;;
IFC-90;AXIAL PARENCHYMA;Cell type / strand length;Fusiform parenchyma cells;;Hardwood;IAWA;90;;;;
IFC-91;AXIAL PARENCHYMA;Cell type / strand length;Two cells per parenchyma strand;;Hardwood;IAWA;91;;;;
IFC-92;AXIAL PARENCHYMA;Cell type / strand length;Four (3-4) cells per parenchyma strand;;Hardwood;IAWA;92;;;;
IFC-93;AXIAL PARENCHYMA;Cell type / strand length;Eight (5-8) cells per parenchyma strand;;Hardwood;IAWA;93;;;;
IFC-94;AXIAL PARENCHYMA;Cell type / strand length;Over eight cells per parenchyma strand;;Hardwood;IAWA;94;;;;
IFC-95;AXIAL PARENCHYMA;Unlignified;Unlignified parenchyma;;Hardwood;IAWA;95;;;;
IFC-96;RAY;Ray width;Rays exclusively uniseriate;;Hardwood;IAWA;96;;;;
IFC-97;RAY;Ray width;Ray width 1 to 3 cells;;Hardwood;IAWA;97;;;;
IFC-98;RAY;Ray width;Larger rays commonly 4-seriate to 10-seriate;;Hardwood;IAWA;98;;;;
IFC-99;RAY;Ray width;Larger rays commonly > 10-seriate;;Hardwood;IAWA;99;;;;
IFC-100;RAY;Ray width;Rays with multiseriate portion(s) as wide as uniseriate portions;;Hardwood;IAWA;100;;;;
IFC-101;RAY;Aggregate rays;Aggregate rays;;Hardwood;IAWA;101;;;;
IFC-102;RAY;Ray height;Ray height > 1 mm;;Hardwood;IAWA;102;;;;
IFC-103;RAY;Rays of two distinct sizes;Rays of two distinct sizes;;Hardwood;IAWA;103;;;;
IFC-104;RAY;Rays: cellular composition;All ray cells procumbent;;Hardwood;IAWA;104;;;;
IFC-105;RAY;Rays: cellular composition;All ray cells upright and/or square;;Hardwood;IAWA;105;;;;
IFC-106;RAY;Rays: cellular composition;Body ray cells procumbent with one row of upright and/or square marginal cells;;Hardwood;IAWA;106;;;;
IFC-107;RAY;Rays: cellular composition;Body ray cells procumbent with mostly 2–4 rows of upright and/or square marginal cells;;Hardwood;IAWA;107;;;;
IFC-108;RAY;Rays: cellular composition;Body ray cells procumbent with over 4 rows of upright and/or square marginal cells;;Hardwood;IAWA;108;;;;
IFC-109;RAY;Rays: cellular composition;Rays with procumbent, square and upright cells mixed throughout the ray;;Hardwood;IAWA;109;;;;
IFC-110;RAY;Other;Sheath cells;;Hardwood;IAWA;110;;;;
IFC-111;RAY;Other;Tile cells;;Hardwood;IAWA;111;;;;
IFC-112;RAY;Other;Perforated ray cells;;Hardwood;IAWA;112;;;;
IFC-113;RAY;Other;Disjunctive ray parenchyma cell walls;;Hardwood;IAWA;113;;;;
IFC-114;RAY;Rays per millimetre;<=  4 / mm;;Hardwood;IAWA;114;;;;
IFC-115;RAY;Rays per millimetre;4–12 / mm;;Hardwood;IAWA;115;;;;
IFC-116;RAY;Rays per millimetre;>= 12 / mm;;Hardwood;IAWA;116;;;;
IFC-117;RAY;Wood rayless;Wood rayless;;Hardwood;IAWA;117;;;;
IFC-118;STORIED STRUCTURE;Ray;All rays storied;;Hardwood;IAWA;118;;;;
IFC-119;STORIED STRUCTURE;Ray;Low rays storied, high rays non-storied;;Hardwood;IAWA;119;;;;
IFC-120;STORIED STRUCTURE;Par - Vessel;Axial parenchyma and / or vessel elements storied;;Hardwood;IAWA;120;;;;
IFC-121;STORIED STRUCTURE;Fibres;Fibres storied;;Hardwood;IAWA;121;;;;
IFC-122;STORIED STRUCTURE;Irregular;Rays and / or axial elements irregularly storied;;Hardwood;IAWA;122;;;;
IFC-123;STORIED STRUCTURE;;Number of ray tiers per axial mm;;Hardwood;IAWA;123;;;;
IFC-124;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Oil and mucilage cells;Oil and/or mucilage cells associated with ray parenchyma;;Hardwood;IAWA;124;;;;
IFC-125;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Oil and mucilage cells;Oil and/or mucilage cells associated with axial parenchyma;;Hardwood;IAWA;125;;;;
IFC-126;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Oil and mucilage cells;Oil and/or mucilage cells present among fibres;;Hardwood;IAWA;126;;;;
IFC-127;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Intercellular canals;Axial canals in long tangential lines;;Hardwood;IAWA;127;;;;
IFC-128;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Intercellular canals;Axial canals in short tangential lines;;Hardwood;IAWA;128;;;;
IFC-129;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Intercellular canals;Axial canals diffuse;;Hardwood;IAWA;129;;;;
IFC-130;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Intercellular canals;Radial canals;;Hardwood;IAWA;130;;;;
IFC-131;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Intercellular canals;Intercellular canals of traumatic origin;;Hardwood;IAWA;131;;;;
IFC-132;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Tubes / tubules;Laticifers or tanniniferous tubes;;Hardwood;IAWA;132;;;;
IFC-133;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Cambial variants;Included phloem, concentric;;Hardwood;IAWA;133;;;;
IFC-134;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Cambial variants;Included phloem, diffuse;;Hardwood;IAWA;134;;;;
IFC-135;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;Cambial variants;Other cambial variants;;Hardwood;IAWA;135;;;;
IFC-136;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals present;;Hardwood;IAWA;136;;;;
IFC-137;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in upright and/or square ray cells;;Hardwood;IAWA;137;;;;
IFC-138;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in procumbent ray cells;;Hardwood;IAWA;138;;;;
IFC-139;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in radial alignment in procumbent ray cells;;Hardwood;IAWA;139;;;;
IFC-140;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in chambered upright and/or square ray cells;;Hardwood;IAWA;140;;;;
IFC-141;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in non-chambered axial parenchyma cells;;Hardwood;IAWA;141;;;;
IFC-142;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in chambered axial parenchyma cells;;Hardwood;IAWA;142;;;;
IFC-143;MINERAL INCLUSIONS;Prismatic crystals;Prismatic crystals in fibres;;Hardwood;IAWA;143;;;;
IFC-144;MINERAL INCLUSIONS;Druses;Druses present;;Hardwood;IAWA;144;;;;
IFC-145;MINERAL INCLUSIONS;Druses;Druses in ray parenchyma cells;;Hardwood;IAWA;145;;;;
IFC-146;MINERAL INCLUSIONS;Druses;Druses in axial parenchyma cells;;Hardwood;IAWA;146;;;;
IFC-147;MINERAL INCLUSIONS;Druses;Druses in fibres;;Hardwood;IAWA;147;;;;
IFC-148;MINERAL INCLUSIONS;Druses;Druses in chambered cells;;Hardwood;IAWA;148;;;;
IFC-149;MINERAL INCLUSIONS;Other crystal types;Raphides;;Hardwood;IAWA;149;;;;
IFC-150;MINERAL INCLUSIONS;Other crystal types;Acicular crystals;;Hardwood;IAWA;150;;;;
IFC-151;MINERAL INCLUSIONS;Other crystal types;Styloids and/or elongate crystals;;Hardwood;IAWA;151;;;;
IFC-152;MINERAL INCLUSIONS;Other crystal types;Crystals of other shapes (mostly small);;Hardwood;IAWA;152;;;;
IFC-153;MINERAL INCLUSIONS;Other crystal types;Crystal sand;;Hardwood;IAWA;153;;;;
IFC-154;MINERAL INCLUSIONS;Other diagnostic crystal features;More than one crystal of about the same size per cell or chamber;;Hardwood;IAWA;154;;;;
IFC-155;MINERAL INCLUSIONS;Other diagnostic crystal features;Two distinct sizes of crystals per cell or chamber;;Hardwood;IAWA;155;;;;
IFC-156;MINERAL INCLUSIONS;Other diagnostic crystal features;Crystals in enlarged cells;;Hardwood;IAWA;156;;;;
IFC-157;MINERAL INCLUSIONS;Other diagnostic crystal features;Crystals in tyloses;;Hardwood;IAWA;157;;;;
IFC-158;MINERAL INCLUSIONS;Other diagnostic crystal features;Cystoliths;;Hardwood;IAWA;158;;;;
IFC-159;MINERAL INCLUSIONS;Silica;Silica bodies present;;Hardwood;IAWA;159;;144;;
IFC-160;MINERAL INCLUSIONS;Silica;Silica bodies in ray cells;;Hardwood;IAWA;160;;;;
IFC-161;MINERAL INCLUSIONS;Silica;Silica bodies in axial parenchyma cells;;Hardwood;IAWA;161;;;;
IFC-162;MINERAL INCLUSIONS;Silica;Silica bodies in fibres;;Hardwood;IAWA;162;;;;
IFC-163;MINERAL INCLUSIONS;Silica;Vitreous silica;;Hardwood;IAWA;163;;145;;
IFC-164;GROWTH RINGS;Transition from earlywood to latewood;Abrupt transition from earlywood to latewood;;Softwood;IAWA;;42;;;
IFC-165;GROWTH RINGS;Transition from earlywood to latewood;Gradual transition from earlywood to latewood;;Softwood;IAWA;;43;;;
IFC-166;TRACHEIDS;Tracheid pitting in radial walls (in earlywood only);(predominantly) Uniseriate;;Softwood;IAWA;;44;;;
IFC-167;TRACHEIDS;Tracheid pitting in radial walls (in earlywood only);(predominantly) Two or more seriate;;Softwood;IAWA;;45;;;
IFC-168;TRACHEIDS;"Arrangement of (two or more seriate) tracheid pitting in radial walls (earlywood
only)";IT pitting opposite;;Softwood;IAWA;;46;;;
